blocking,ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
grid,Baseline,closure,Dinophysis_acuminata,2091,500,0.34895,0.26423,0.33758,0.14477,-0.01137,0.38673,0.27417,0.4426,0.23289,0.05587
grid,C2RCC,closure,Pseudo-nitzschia,378,13000,0.2459,0.10474,0.41929,0.19133,0.17339,0.41764,0.21876,0.54544,0.24898,0.1278
grid,C2RCC,closure,Alexandrium_catenella,1303,300,0.36709,0.14766,0.51016,0.21654,0.14307,0.46808,0.1262,0.59968,0.17119,0.1316
grid,C2RCC,closure,Karenia,1212,5000,0.52634,0.14987,0.65418,0.11685,0.12784,0.60449,0.12196,0.69394,0.11268,0.08945
grid,C2RCC,closure,Dinophysis_acuminata,2091,500,0.30554,0.20385,0.32892,0.14558,0.02338,0.34504,0.27457,0.44099,0.24479,0.09595
grid,C2RCC,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.03442,0.03795,0.03099,0.03919,-0.00343
grid,ACOLITE,warning,Pseudo-nitzschia,2121,2000,0.51542,0.13864,0.56704,0.14452,0.05162,0.61054,0.13614,0.67268,0.1347,0.06214
grid,ACOLITE,warning,Karenia,2481,1000,0.5939,0.19341,0.63886,0.22543,0.04496,0.71011,0.17812,0.76219,0.16684,0.05208
grid,ACOLITE,warning,Alexandrium_catenella,1694,100,0.44915,0.16592,0.47691,0.18787,0.02776,0.53174,0.11614,0.60851,0.13629,0.07677
grid,ACOLITE,warning,Dinophysis_norvegica,1271,200,0.05964,0.04583,0.07477,0.0385,0.01513,0.17277,0.11679,0.17795,0.11821,0.00518
grid,ACOLITE,warning,Dinophysis_acuminata,3881,200,0.56342,0.2331,0.5684,0.22664,0.00498,0.59257,0.21764,0.61343,0.20557,0.02086
grid,Baseline,warning,Pseudo-nitzschia,2121,2000,0.47634,0.07741,0.55776,0.11083,0.08142,0.54309,0.12644,0.65797,0.11119,0.11488
grid,Baseline,warning,Alexandrium_catenella,1694,100,0.3629,0.13596,0.43858,0.17171,0.07568,0.48276,0.11479,0.58852,0.13113,0.10576
grid,Baseline,warning,Karenia,2481,1000,0.61482,0.18455,0.64744,0.19729,0.03262,0.70406,0.18215,0.76102,0.16345,0.05696
grid,Baseline,warning,Dinophysis_norvegica,1271,200,0.0275,0.03348,0.05102,0.04242,0.02352,0.16475,0.11944,0.18774,0.11937,0.02299
grid,Baseline,warning,Dinophysis_acuminata,3881,200,0.53272,0.24433,0.54206,0.23646,0.00934,0.57282,0.24288,0.59943,0.22004,0.02661
grid,C2RCC,warning,Alexandrium_catenella,1694,100,0.35057,0.15399,0.47028,0.17509,0.11971,0.44635,0.12714,0.57688,0.11917,0.13053
grid,C2RCC,warning,Pseudo-nitzschia,2121,2000,0.44012,0.15113,0.555,0.12428,0.11488,0.52307,0.15598,0.65402,0.13167,0.13095
grid,C2RCC,warning,Karenia,2481,1000,0.56985,0.1862,0.62158,0.20233,0.05173,0.68716,0.16616,0.75084,0.16174,0.06368
grid,C2RCC,warning,Dinophysis_norvegica,1271,200,0.04743,0.03769,0.06305,0.04933,0.01562,0.15161,0.11368,0.1772,0.12084,0.02559
grid,C2RCC,warning,Dinophysis_acuminata,3881,200,0.54399,0.21069,0.54067,0.21174,-0.00332,0.54915,0.23634,0.59649,0.21723,0.04734
quadtree_adaptive,ACOLITE,closure,Pseudo-nitzschia,381,13000,0.32424,0.19951,0.44866,0.17497,0.12442,0.47043,0.17166,0.58432,0.2072,0.11389
quadtree_adaptive,ACOLITE,closure,Karenia,1210,5000,0.58266,0.13207,0.66047,0.16827,0.07781,0.6889,0.14583,0.73463,0.13443,0.04573
quadtree_adaptive,ACOLITE,closure,Alexandrium_catenella,1301,300,0.4384,0.21465,0.50058,0.23108,0.06218,0.52858,0.17601,0.59837,0.19345,0.06979
quadtree_adaptive,ACOLITE,closure,Dinophysis_acuminata,2093,500,0.38392,0.24317,0.40524,0.13135,0.02132,0.39677,0.2509,0.51492,0.21273,0.11815
quadtree_adaptive,ACOLITE,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.04034,0.04697,0.05282,0.04792,0.01248
quadtree_adaptive,Baseline,closure,Pseudo-nitzschia,381,13000,0.25423,0.12586,0.45094,0.18993,0.19671,0.43028,0.19473,0.54138,0.23021,0.1111
quadtree_adaptive,Baseline,closure,Karenia,1210,5000,0.45661,0.12861,0.54055,0.15874,0.08394,0.63474,0.16399,0.70402,0.15376,0.06928
